timestamp,Fecha_Satelite_UTC,Fecha_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Clasificacion Mirova,Fecha_Proceso,Ruta_Fotos,Tipo_Registro
1768075200,2026-01-10 20:00:00,2026-01-10 17:00:00,Isluga,MODIS,0.0,0.0,NORMAL,2026-01-11 01:18:45,No descargadas,RUTINA
1768072320,2026-01-10 19:12:00,2026-01-10 16:12:00,Isluga,VIIRS375,0.0,0.0,NORMAL,2026-01-11 01:18:45,monitoreo_satelital/imagenes_satelitales/Isluga/2026-01-10/19-12-00_Isluga_VIIRS375_Latest.png,EVIDENCIA_DIARIA
1768072320,2026-01-10 19:12:00,2026-01-10 16:12:00,Isluga,VIIRS,0.0,0.0,NORMAL,2026-01-11 01:18:45,No descargadas,RUTINA
1768098300,2026-01-11 02:25:00,2026-01-10 23:25:00,Isluga,MODIS,0.0,0.0,NORMAL,2026-01-11 02:34:50,No descargadas,RUTINA
1768107601,2026-01-11 05:00:01,2026-01-11 02:00:01,Isluga,VIIRS,0.0,0.0,NORMAL,2026-01-11 05:05:54,No descargadas,RUTINA
1768137300,2026-01-11 13:15:00,2026-01-11 10:15:00,Isluga,MODIS,0.0,0.0,NORMAL,2026-01-11 15:25:14,,
1768113721,2026-01-11 06:42:01,2026-01-11 03:42:01,Isluga,VIIRS375,0.0,0.0,NORMAL,2026-01-11 15:25:14,,
1768113721,2026-01-11 06:42:01,2026-01-11 03:42:01,Isluga,VIIRS,0.0,0.0,NORMAL,2026-01-11 15:25:14,,
