timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1768454641,2026-01-15 05:24:01,2026-01-15 02:24:01,Lascar,VIIRS,1.31,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-15/05-24-01_Lascar_VIIRS750_Latest.png,2026-01-15 05:35:40,2026-01-15 17:28:19,NO,latest.php,valido,False,Capturado por latest.php
1768441500,2026-01-15 01:45:00,2026-01-14 22:45:00,Lascar,MODIS,0.89,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-15/01-45-00_Lascar_MODIS_Latest.png,2026-01-15 01:07:33,2026-01-15 07:00:26,NO,latest.php,valido,False,Capturado por latest.php
1768413240,2026-01-14 17:54:00,2026-01-14 14:54:00,Lastarria,VIIRS375,0.96,10.3,EVIDENCIA_DIARIA,NULO,No descargada,2026-01-14 18:14:26,2026-01-14 18:42:26,NO,latest.php,valido,False,Capturado por latest.php
1768413240,2026-01-14 17:54:00,2026-01-14 14:54:00,Lascar,VIIRS375,0.76,22.84,EVIDENCIA_DIARIA,NULO,No descargada,2026-01-14 18:14:26,2026-01-14 18:42:26,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Lascar,VIIRS375,1.01,19.18,EVIDENCIA_DIARIA,NULO,No descargada,2026-01-14 18:00:31,2026-01-14 18:00:31,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Lastarria,VIIRS375,0.07,2.4,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lastarria/2026-01-14/05-48-01_Lastarria_VIIRS375_Latest.png,2026-01-14 18:00:31,2026-01-14 18:00:31,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Puyehue-Cordon Caulle,VIIRS375,0.62,8.1,ALERTA_TERMICA,Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-14/05-48-01_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-01-14 18:00:31,2026-01-14 18:00:31,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Llaima,VIIRS375,0.43,8.11,EVIDENCIA_DIARIA,NULO,No descargada,2026-01-14 18:00:31,2026-01-14 18:00:31,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Villarrica,VIIRS375,0.07,0.84,ALERTA_TERMICA,Bajo,imagenes_satelitales/Villarrica/2026-01-14/05-48-01_Villarrica_VIIRS375_Latest.png,2026-01-14 18:00:31,2026-01-14 18:00:31,NO,latest.php,valido,False,Capturado por latest.php
1768369681,2026-01-14 05:48:01,2026-01-14 02:48:01,Lascar,VIIRS,1.21,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-14/05-48-01_Lascar_VIIRS750_Latest.png,2026-01-14 18:14:26,2026-01-14 18:14:26,NO,latest.php,valido,False,Capturado por latest.php
