timestamp,Fecha_Satelite_UTC,Fecha_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Clasificacion Mirova,Fecha_Proceso,Ruta_Fotos,Tipo_Registro
1768098000,2026-01-11 02:20:00,2026-01-10 23:20:00,Copahue,MODIS,0.0,0.0,NORMAL,2026-01-11 01:18:45,No descargadas,RUTINA
1768073041,2026-01-10 19:24:01,2026-01-10 16:24:01,Copahue,VIIRS,0.0,0.0,NORMAL,2026-01-11 01:18:45,No descargadas,RUTINA
1768073041,2026-01-10 19:24:01,2026-01-10 16:24:01,Copahue,VIIRS375,5.73,25.86,FALSO POSITIVO,2026-01-11 01:18:45,No descargadas,RUTINA
1768107961,2026-01-11 05:06:01,2026-01-11 02:06:01,Copahue,VIIRS,0.0,0.0,NORMAL,2026-01-11 05:05:54,No descargadas,RUTINA
1768137600,2026-01-11 13:20:00,2026-01-11 10:20:00,Copahue,MODIS,0.0,0.0,NORMAL,2026-01-11 15:25:14,,
1768114081,2026-01-11 06:48:01,2026-01-11 03:48:01,Copahue,VIIRS375,0.0,0.0,NORMAL,2026-01-11 15:25:14,,
1768114081,2026-01-11 06:48:01,2026-01-11 03:48:01,Copahue,VIIRS,0.0,0.0,NORMAL,2026-01-11 15:25:14,,
